Rank,Stadium,Seating Capacity,Region,Country,City,Images,Home Team
52,FirstEnergy Stadium,"73,200",North America,United States,Cleveland,https://en.wikipedia.org/wiki/File:The_Stadio_Olimpico_during_a_match_between_AS_Roma_and_Sampdoria.jpg,"AS Roma,Lazio"
53,Estádio Nacional Mané Garrincha,"72,788",South America,Brazil,"Brasília, Distrito Federal",https://en.wikipedia.org/wiki/File:International_Stadium_Yokohama-1.jpg,"Yokohama F. Marinos,Yokohama Eagles"
54,Stadio Olimpico,"72,698",Europe,Italy,"Rome, Lazio",https://en.wikipedia.org/wiki/File:The_Texans_at_Reliant_Park_1_Jan_2012.jpg,"Houston Texans,Houston Dynamo FC"
55,Nissan Stadium,"72,327",East Asia,Japan,"Yokohama, Kanagawa",https://en.wikipedia.org/wiki/File:Shanghai_Stadium_2008.JPG,Shanghai Shenhua
56,NRG Stadium,"72,220",North America,United States,"Houston, Texas",https://en.wikipedia.org/wiki/File:M%26T_Bank_Stadium_USA_soccer.JPG,Baltimore Ravens
57,Shanghai Stadium,"72,000",East Asia,China,Shanghai,https://en.wikipedia.org/wiki/File:Mercedes_Benz_Stadium_interior_2017-08-25_1.jpg,"Atlanta United FC,Atlanta Falcons"
58,M&T Bank Stadium,"71,008",North America,United States,Baltimore,https://en.wikipedia.org/wiki/File:Wanda-Metropolitano.jpg,Atlético de Madrid
59,Mercedes-Benz Stadium,"71,000",North America,United States,"Atlanta, Georgia",https://en.wikipedia.org/wiki/File:Kyiv_NSC_Olimpiyskyi_5.jpg,"Ukraine national football team,FC Dynamo Kyiv"
60,Cívitas Metropolitano,"70,460",Europe,Spain,Madrid,https://en.wikipedia.org/wiki/File:SoFi_Stadium_interior_2021.jpg,
61,Olympic National Sports Complex Stadium,"70,000",Europe,Ukraine,Kyiv,https://en.wikipedia.org/wiki/File:%E8%9A%95%E5%AE%A4_03.jpg,
62,SoFi Stadium,"70,000",North America,United States,"Inglewood, California",https://en.wikipedia.org/wiki/File:Chelsea_won_UEFA_Europa_League_final_at_Olympic_Stadium_and_President_Ilham_Aliyev_watched_the_final_match_16.jpg,Azerbaijan national football team
63,Seoul Olympic Stadium,"69,950",East Asia,South Korea,Seoul,"https://en.wikipedia.org/wiki/File:Olympic_Stadium_at_Athens_before_a_home_game_of_Panathinaikos_on_February_2,_2013.jpg",Greece national football team
64,Bakı Olimpiya stadionu,"69,870",West Asia,Azerbaijan,Baku,https://en.wikipedia.org/wiki/File:M%C3%BCnchener_Olympiastadion.jpg,
65,Olympic Stadium,"69,618",Europe,Greece,"Marousi,Attica",https://en.wikipedia.org/wiki/File:Qwest_Field_North.jpg,"Seattle Sounders FC,Seattle Seahawks"
66,Olympiastadion München,"69,250",Europe,Germany,Munich,https://en.wikipedia.org/wiki/File:Estadio_Pumas.jpg,UNAM Pumas
67,Lumen Field,"69,000",North America,United States,"Seattle, Washington",https://en.wikipedia.org/wiki/File:Stadiumguillete_(cropped).jpg,"New England Patriots,New England Revolution"
68,Estadio Olímpico Universitario,"68,954",North America,Mexico,Mexico City,https://en.wikipedia.org/wiki/File:Jawhara_Stadium.jpg,"Saudi Arabia national football team,Al-Ahli Saudi FC,Al-Ittihad Saudi Club"
69,Gillette Stadium,"68,756",North America,United States,"Foxborough, Massachusetts",https://en.wikipedia.org/wiki/File:USA-Turkey-Linc.jpg,"Philadelphia Eagles,Temple Owls football"
70,King Abdullah Sports City Stadium,"68,560",West Asia,Saudi Arabia,Jeddah,https://en.wikipedia.org/wiki/File:Entering_Levi%27s_Stadium.JPG,San Francisco 49ers
71,Lincoln Financial Field,"68,532",North America,United States,Philadelphia,https://en.wikipedia.org/wiki/File:Heinz_Field_NHL_Winter_Classic.jpg,"Pittsburgh Steelers,Pittsburgh Panthers football"
72,Levi's Stadium,"68,500",North America,United States,"Santa Clara, California",https://en.wikipedia.org/wiki/File:Fina-l2017.jpg,FC Zenit Saint Petersburg
73,Acrisure Stadium,"68,400",North America,United States,Pittsburgh,https://en.wikipedia.org/wiki/File:Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team,Mohun Bagan Super Giant,East Bengal FC,Mohammedan SC"
74,Gazprom Arena,"68,134",Europe,Russia,Saint Petersburg,https://en.wikipedia.org/wiki/File:Drones_durante_a_abertura_das_Olimp%C3%ADadas_de_T%C3%B3quio.jpg,
75,Salt Lake Stadium,"68,000",South Asia,India,Kolkata,https://en.wikipedia.org/wiki/File:2009_Gator_Bowl.jpg,Jacksonville Jaguars
76,National Stadium,"68,000",East Asia,Japan,Tokyo,https://en.wikipedia.org/wiki/File:Stade_V%C3%A9lodrome_1.jpg,Olympique de Marseille
77,TIAA Bank Field,"67,814",North America,United States,"Jacksonville, Florida",https://en.wikipedia.org/wiki/File:Pusk%C3%A1s_Ar%C3%A9na_01.jpg,Hungary national football team
78,Orange Vélodrome,"67,394",Europe,France,Marseille,https://en.wikipedia.org/wiki/File:Murrayfield_Stadium_-_geograph.org.uk_-_1246737.jpg,Scotland national rugby union team
79,Puskás Aréna,"67,215",Europe,Hungary,Budapest,https://en.wikipedia.org/wiki/File:LucasOilStadiumTheLuke.jpg,Indianapolis Colts
80,Scottish Gas Murrayfield Stadium,"67,144",Europe,Scotland,Edinburgh,https://en.wikipedia.org/wiki/File:Estadio_Morumbi_2014.jpg,São Paulo FC
81,Lucas Oil Stadium,"67,000",North America,United States,"Indianapolis, Indiana",https://en.wikipedia.org/wiki/File:2005_NCAA_North_Carolina_v_Michigan_State.JPG,St. Louis BattleHawks
82,MorumBIS,"66,975",South America,Brazil,"São Paulo, São Paulo",https://en.wikipedia.org/wiki/File:Yadegar_Emam_stadium_at_night_-_panoramio.jpg,Tractor Sazi FC
83,The Dome,"66,965",North America,United States,St. Louis,https://en.wikipedia.org/wiki/File:AFC_Champions_League_Final_1st_leg.jpg,FC Seoul
84,Yadegar-e-Emam Stadium,"66,833",West Asia,Iran,Tabriz,https://en.wikipedia.org/wiki/File:Looking_South-US_Bank_Stadium.jpg,Minnesota Vikings
85,Seoul World Cup Stadium,"66,704",East Asia,South Korea,Seoul,https://en.wikipedia.org/wiki/File:Daegu.Stadium.original.2167.jpg,Daegu FC
86,US Bank Stadium,"66,655",North America,United States,Minneapolis,https://en.wikipedia.org/wiki/File:New_Workers%27_Stadium_under_construction_(20221025141129).jpg,"Beijing Guoan,China national football team"
87,Daegu Stadium,"66,422",East Asia,South Korea,Daegu,https://en.wikipedia.org/wiki/File:London_Stadium_panorama_picture.jpg,West Ham United
88,Workers' Stadium,"66,161",East Asia,China,Beijing,https://en.wikipedia.org/wiki/File:RaymondJamesStadium2022.jpg,"Tampa Bay Buccaneers,South Florida Bulls football,Tampa Bay Vipers"
89,London Stadium,"66,000",Europe,England,London,https://en.wikipedia.org/wiki/File:Interior_of_updated_Hard_Rock_Stadium.jpg,"Miami Dolphins,Miami Hurricanes football"
90,Raymond James Stadium,"65,847",North America,United States,"Tampa, Florida",https://en.wikipedia.org/wiki/File:Montreal_Impact_CONCACAF_FINAL.jpg,CF Montréal
91,Hard Rock Stadium,"65,326",North America,United States,"Miami Gardens, Florida",https://en.wikipedia.org/wiki/File:Basra_International_Stadium_Opening_2.JPG,Iraq national football team
92,Olympic Stadium,"65,255",North America,Canada,"Montreal, Quebec","https://en.wikipedia.org/wiki/File:Citrus_Bowl,_Construction_progress.jpg",
